District,Sum of Urban_Heat_Delta,Sum of Intensity Score,Sum of Relative_Heat_Stress
Yuen Long,-2.0000000000000036,298.83401758901323,0.06111125104069801
Yau Tsim Mong,0.6666666666666643,241.2066323312213,0.005543705638501983
Wong Tai Sin,-0.6666666666666679,125.41047287829218,0.002841197844999823
Wan Chai,-0.6666666666666679,113.18425900164908,0.007274052635067422
Tuen Mun,0.33333333333333215,98.764916781577,0.01570189455986916
Tsuen Wan,1.6666666666666643,188.69172401922953,0.03766301876631328
Tai Po,-1.3333333333333357,182.82273877430885,0.07523569496885138
Southern,0.9999999999999964,298.7358422834476,0.04419169264548042
Sham Shui Po,-0.6666666666666679,126.14165133592286,0.0026850074784147055
Sha Tin,-0.6666666666666679,108.27809882927491,0.010574033088796378
Sai Kung,1.6666666666666643,182.91595253825952,0.04738755247105169
North,-1.6666666666666679,95.19086420146907,0.03792464709221875
Kwun Tong,0.33333333333333215,124.09561306925308,0.002093380787268102
Kwai Tsing,0.33333333333333215,112.6171097095393,0.005250214904873627
Kowloon City,0.6666666666666643,240.311969481046,0.0057463407336452894
Islands,0.6666666666666643,157.7380352853214,0.1460537363752976
Eastern,0.33333333333333215,115.96770449569436,0.004018284979060789
